,Census Name,Code
411,"Manchester-Nashua, NH Metro Area",30374
412,"Manitowoc, WI Micro Area",33512
413,"Mankato, MN Metro Area",32518
414,"Mansfield, OH Metro Area",33255
415,"Marinette, WI-MI Micro Area",33409
416,"Marion, IN Micro Area",33595
417,"Marion, OH Micro Area",33410
418,"Marquette, MI Micro Area",33459
419,"Marshall, MN Micro Area",33392
420,"Marshall, MO Micro Area",33291
421,"Marshalltown, IA Micro Area",33322
422,"Martinsville, VA Micro Area",34378
423,"Mason City, IA Micro Area",33211
424,"Mayfield, KY Micro Area",36758
425,"McAlester, OK Micro Area",33361
426,"McAllen-Edinburg-Mission, TX Metro Area",33256
427,"McAllen-Edinburg-Mission, TX Metro Area",36871
428,"McComb, MS Micro Area",33191
429,"McMinnville, TN Micro Area",34564
430,"McPherson, KS Micro Area",33447
431,"Meadville, PA Micro Area",33242
432,"Medford, OR Metro Area",33264
433,"Memphis, TN-MS-AR Metro Area",33244
434,"Merced, CA Metro Area",33194
435,"Meridian, MS Micro Area",33241
436,"Miami, OK Micro Area",33314
437,"Miami-Fort Lauderdale-Pompano Beach, FL Metro Area",32467
438,"Miami-Fort Lauderdale-Pompano Beach, FL Metro Area",34027
439,"Miami-Fort Lauderdale-Pompano Beach, FL Metro Area",34223
440,"Michigan City-La Porte, IN Metro Area",33052
441,"Michigan City-La Porte, IN Metro Area",33271
442,"Midland, TX Metro Area",33158
443,"Milledgeville, GA Micro Area",36927
444,"Milwaukee-Waukesha, WI Metro Area",33342
445,"Milwaukee-Waukesha, WI Metro Area",35440
446,"Mineral Wells, TX Micro Area",33547
447,"Minneapolis-St. Paul-Bloomington, MN-WI Metro Area",31650
448,"Minot, ND Micro Area",33304
449,"Missoula, MT Metro Area",33486
450,"Mitchell, SD Micro Area",33287
451,"Mobile, AL Metro Area",30562
452,"Modesto, CA Metro Area",33424
453,"Monroe, LA Metro Area",33377
454,"Montgomery, AL Metro Area",33277
455,"Morehead City, NC Micro Area",33466
456,"Morgantown, WV Metro Area",33282
457,"Morristown, TN Metro Area",33431
458,"Moses Lake, WA Micro Area",33546
459,"Moultrie, GA Micro Area",33523
460,"Mount Pleasant, MI Micro Area",33429
461,"Mount Pleasant, TX Micro Area",33448
462,"Mount Sterling, KY Micro Area",32861
463,"Mount Vernon, IL Micro Area",33537
464,"Mount Vernon, OH Micro Area",36708
465,"Mount Vernon-Anacortes, WA Metro Area",33968
466,"Mountain Home, AR Micro Area",35792
467,"Mountain Home, ID Micro Area",33525
468,"Murray, KY Micro Area",30949
469,"Muscatine, IA Micro Area",33527
470,"Muskegon, MI Metro Area",33344
471,"Muskogee, OK Micro Area",33350
472,"Myrtle Beach-Conway-North Myrtle Beach, SC-NC Metro Area",31135
473,"Myrtle Beach-Conway-North Myrtle Beach, SC-NC Metro Area",34708
474,"Nacogdoches, TX Micro Area",33810
475,"Napa, CA Metro Area",30327
476,"Naples-Marco Island, FL Metro Area",30329
477,"Naples-Marco Island, FL Metro Area",33469
478,"Nashville-Davidson--Murfreesboro--Franklin, TN Metro Area",30693
479,"Natchez, MS-LA Micro Area",32106
480,"New Haven-Milford, CT Metro Area",32244
481,"New Orleans-Metairie, LA Metro Area",33495
482,"New Philadelphia-Dover, OH Micro Area",34096
483,"New Ulm, MN Micro Area",35462
484,"New York-Newark-Jersey City, NY-NJ-PA Metro Area",31703
485,"Newport, OR Micro Area",33890
486,"Nogales, AZ Micro Area",33868
487,"Norfolk, NE Micro Area",33825
488,"North Platte, NE Micro Area",32899
489,"North Port-Sarasota-Bradenton, FL Metro Area",34986
490,"Oak Harbor, WA Micro Area",33821
491,"Ocala, FL Metro Area",33809
492,"Ocean City, NJ Metro Area",36554
493,"Ogden-Clearfield, UT Metro Area",32131
494,"Ogdensburg-Massena, NY Micro Area",33490
495,"Ogdensburg-Massena, NY Micro Area",33832
496,"Okeechobee, FL Micro Area",36527
497,"Oklahoma City, OK Metro Area",33851
498,"Olean, NY Micro Area",33861
499,"Olympia-Lacey-Tumwater, WA Metro Area",33865
500,"Omaha-Council Bluffs, NE-IA Metro Area",30889
501,"Omaha-Council Bluffs, NE-IA Metro Area",33316
502,"Oneonta, NY Micro Area",33783
503,"Ontario, OR-ID Micro Area",33889
504,"Orangeburg, SC Micro Area",33828
505,"Orlando-Kissimmee-Sanford, FL Metro Area",31454
506,"Orlando-Kissimmee-Sanford, FL Metro Area",34761
507,"Oshkosh-Neenah, WI Metro Area",33949
508,"Othello, WA Micro Area",31804
509,"Ottumwa, IA Micro Area",33965
510,"Owatonna, MN Micro Area",33982
511,"Owensboro, KY Metro Area",33983
512,"Oxford, MS Micro Area",35481
513,"Oxnard-Thousand Oaks-Ventura, CA Metro Area",31735
514,"Oxnard-Thousand Oaks-Ventura, CA Metro Area",33988
515,"Ozark, AL Micro Area",33999
516,"Paducah, KY-IL Micro Area",34006
517,"Pahrump, NV Micro Area",36789
518,"Palestine, TX Micro Area",34260
519,"Palm Bay-Melbourne-Titusville, FL Metro Area",33360
520,"Palm Bay-Melbourne-Titusville, FL Metro Area",35221
521,"Panama City, FL Metro Area",31481
522,"Paragould, AR Micro Area",36448
523,"Paris, TN Micro Area",34105
524,"Paris, TX Micro Area",34247
525,"Parkersburg-Vienna, WV Metro Area",34131
526,"Parsons, KS Micro Area",34221
527,"Payson, AZ Micro Area",34126
528,"Pella, IA Micro Area",36533
529,"Pensacola-Ferry Pass-Brent, FL Metro Area",33728
530,"Peoria, IL Metro Area",34108
531,"Peru, IN Micro Area",32021
532,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD Metro Area",32320
533,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD Metro Area",34100
534,"Phoenix-Mesa-Chandler, AZ Metro Area",30466
535,"Phoenix-Mesa-Chandler, AZ Metro Area",30982
536,"Phoenix-Mesa-Chandler, AZ Metro Area",33480
537,"Picayune, MS Micro Area",36414
538,"Pierre, SD Micro Area",34120
539,"Pine Bluff, AR Metro Area",34024
540,"Pinehurst-Southern Pines, NC Micro Area",34938
541,"Pittsburg, KS Micro Area",34280
542,"Pittsburgh, PA Metro Area",30198
543,"Pittsfield, MA Metro Area",34255
544,"Plainview, TX Micro Area",34315
545,"Plattsburgh, NY Micro Area",34025
546,"Plymouth, IN Micro Area",34157
547,"Pocatello, ID Metro Area",34113
548,"Ponca City, OK Micro Area",34180
549,"Ponce, PR Metro Area",34254
550,"Poplar Bluff, MO Micro Area",34201
551,"Port Angeles, WA Micro Area",31050
552,"Portales, NM Micro Area",35833
553,"Portland-South Portland, ME Metro Area",34321
554,"Portland-Vancouver-Hillsboro, OR-WA Metro Area",32136
555,"Portland-Vancouver-Hillsboro, OR-WA Metro Area",34057
556,"Portland-Vancouver-Hillsboro, OR-WA Metro Area",35640
557,"Portsmouth, OH Micro Area",34165
558,"Poughkeepsie-Newburgh-Middletown, NY Metro Area",33613
559,"Poughkeepsie-Newburgh-Middletown, NY Metro Area",34212
560,"Prescott Valley-Prescott, AZ Metro Area",34237
561,"Price, UT Micro Area",34289
562,"Prineville, OR Micro Area",34249
563,"Provo-Orem, UT Metro Area",34314
564,"Pueblo, CO Metro Area",34288
565,"Pullman, WA Micro Area",34303
566,"Punta Gorda, FL Metro Area",34082
567,"Quincy, IL-MO Micro Area",35454
568,"Racine, WI Metro Area",34447
569,"Raleigh-Cary, NC Metro Area",34492
570,"Rapid City, SD Metro Area",34457
571,"Reading, PA Metro Area",34488
572,"Red Bluff, CA Micro Area",34469
573,"Red Wing, MN Micro Area",36492
574,"Redding, CA Metro Area",33792
575,"Reno, NV Metro Area",34570
576,"Rexburg, ID Micro Area",31815
577,"Richmond, IN Micro Area",34525
578,"Richmond, VA Metro Area",34524
579,"Richmond-Berea, KY Micro Area",35524
580,"Rio Grande City-Roma, TX Micro Area",31633
581,"Riverside-San Bernardino-Ontario, CA Metro Area",34262
582,"Riverside-San Bernardino-Ontario, CA Metro Area",34454
583,"Riverside-San Bernardino-Ontario, CA Metro Area",34691
584,"Roanoke Rapids, NC Micro Area",34668
585,"Roanoke, VA Metro Area",34574
586,"Rochester, MN Metro Area",32547
587,"Rochester, NY Metro Area",34576
588,"Rock Springs, WY Micro Area",34543
589,"Rockford, IL Metro Area",34512
590,"Rockingham, NC Micro Area",36624
591,"Rockport, TX Micro Area",34541
592,"Rocky Mount, NC Metro Area",34656
593,"Rolla, MO Micro Area",34547
594,"Rome, GA Metro Area",34554
595,"Roseburg, OR Micro Area",34467
596,"Roswell, NM Micro Area",34588
597,"Ruidoso, NM Micro Area",34646
598,"Russellville, AR Micro Area",30345
599,"Ruston, LA Micro Area",34630
600,"Rutland, VT Micro Area",34648
601,"Sacramento-Roseville-Folsom, CA Metro Area",33192
602,"Safford, AZ Micro Area",34673
603,"Salem, OR Metro Area",34871
604,"Salina, KS Micro Area",34877
605,"Salisbury, MD-DE Metro Area",34704
606,"Salt Lake City, UT Metro Area",34614
607,"San Angelo, TX Metro Area",34842
608,"San Antonio-New Braunfels, TX Metro Area",33214
609,"San Diego-Chula Vista-Carlsbad, CA Metro Area",31041
610,"San Diego-Chula Vista-Carlsbad, CA Metro Area",33570
611,"San Francisco-Oakland-Berkeley, CA Metro Area",32457
612,"San Juan-Bayamón-Caguas, PR Metro Area",34819
613,"San Luis Obispo-Paso Robles, CA Metro Area",34236
614,"Sandpoint, ID Micro Area",36868
615,"Sandusky, OH Micro Area",34865
616,"Sanford, NC Micro Area",36726
617,"Santa Cruz-Watsonville, CA Metro Area",35877
618,"Santa Fe, NM Metro Area",34674
619,"Santa Maria-Santa Barbara, CA Metro Area",34689
620,"Santa Maria-Santa Barbara, CA Metro Area",34905
